Ranking Method,Positions,Sector Rule,Regime Schedule,CAGR,Max DD,Profit Factor,Calmar,Win Rate,Trades,Avg Trade %,Avg Exposure %,>100% Wins,Max Winner %
Composite Momentum,7,Unrestricted,Fixed 100% Exposure,15.375621867349064,-37.66806081017399,3.48160549457931,0.4081872423651862,39.473684210526315,76,22.018872840629495,78.13177202022572,8,595.1899626129455
Composite Momentum,7,Unrestricted,Regime Schedule 1 (100/70/30),19.365444691204246,-30.71335021362777,5.569613201831236,0.6305220549535373,46.774193548387096,62,35.08627871935199,72.08635708882463,9,454.4246971641728
Composite Momentum,7,Max 2 / Sector,Fixed 100% Exposure,19.52153648999517,-45.68396423322639,4.159544040894923,0.4273170425914345,41.66666666666667,72,29.029982680600135,76.70541850374434,11,595.1899626129455
Composite Momentum,7,Max 2 / Sector,Regime Schedule 1 (100/70/30),21.425613362580375,-28.353809158180294,6.347765486126317,0.755652026965799,48.38709677419355,62,36.71689800490629,71.43305833998986,10,454.4246971641728
Composite Momentum,10,Unrestricted,Fixed 100% Exposure,22.037964376338294,-45.95920026253947,3.5955586145836533,0.47951148519660053,42.71844660194174,103,24.436532407336138,78.88784278299583,12,595.1899626129455
Composite Momentum,10,Unrestricted,Regime Schedule 1 (100/70/30),34.504437121483946,-34.276607028219495,6.8901026244601224,1.006646809968002,45.78313253012048,83,49.47109905985392,74.58498213587646,14,1465.8324884313088
Composite Momentum,10,Max 2 / Sector,Fixed 100% Exposure,19.393634738847187,-43.66735318792398,3.48198681585757,0.4441220573957392,40.38461538461539,104,24.26510129898388,77.33297132133649,12,595.1899626129455
Composite Momentum,10,Max 2 / Sector,Regime Schedule 1 (100/70/30),29.67625449871607,-29.145923901295983,6.5638844324179475,1.0181957037703135,43.67816091954023,87,49.44963390957028,73.29824188530036,14,1465.8324884313088
Composite Momentum,15,Unrestricted,Fixed 100% Exposure,27.90914864576386,-39.256094632813635,4.9387946888015115,0.7109507175080779,42.142857142857146,140,38.833146055041844,77.6186785352149,18,1465.8324884313088
Composite Momentum,15,Unrestricted,Regime Schedule 1 (100/70/30),30.407816772030838,-26.541732606494094,6.110117472703433,1.1456605799950983,43.103448275862064,116,45.534412579762446,73.42033541273486,17,1465.8324884313088
Composite Momentum,15,Max 2 / Sector,Fixed 100% Exposure,29.604766426899243,-35.48543746331283,5.126923827324922,0.8342793140850128,39.436619718309856,142,42.475205787659355,77.55527963693773,19,1465.8324884313088
Composite Momentum,15,Max 2 / Sector,Regime Schedule 1 (100/70/30),30.417253386248056,-30.49986066150195,6.366347441299281,0.9972915523722978,44.91525423728814,118,48.50519978416731,71.758098801076,19,1465.8324884313088
Weekly RSI,3,Unrestricted,Fixed 100% Exposure,12.763705875170373,-39.2390262468378,2.520294551442371,0.3252809026115671,36.11111111111111,36,13.95932319211829,78.25354365444686,3,266.0918054390815
Weekly RSI,3,Unrestricted,Regime Schedule 1 (100/70/30),24.377601732491904,-38.77862488939236,6.514563406128918,0.6286350225678126,44.0,25,40.036576893158475,73.62992433957798,4,376.21555021515564
Weekly RSI,3,Max 2 / Sector,Fixed 100% Exposure,12.763705875170373,-39.2390262468378,2.520294551442371,0.3252809026115671,36.11111111111111,36,13.95932319211829,78.25354365444686,3,266.0918054390815
Weekly RSI,3,Max 2 / Sector,Regime Schedule 1 (100/70/30),24.377601732491904,-38.77862488939236,6.514563406128918,0.6286350225678126,44.0,25,40.036576893158475,73.62992433957798,4,376.21555021515564
Weekly RSI,5,Unrestricted,Fixed 100% Exposure,15.717600748034855,-39.86039597727144,2.7446896200554223,0.3943162219712292,37.5,56,15.296390434093286,79.33348674237993,5,266.0918054390815
Weekly RSI,5,Unrestricted,Regime Schedule 1 (100/70/30),21.79644619007963,-33.081286789903416,6.029211900357752,0.6588754037443314,51.11111111111111,45,31.147484945405616,72.20218369770569,6,376.21555021515564
Weekly RSI,5,Max 2 / Sector,Fixed 100% Exposure,15.717600748034855,-39.86039597727144,2.7446896200554223,0.3943162219712292,37.5,56,15.296390434093286,79.33348674237993,5,266.0918054390815
Weekly RSI,5,Max 2 / Sector,Regime Schedule 1 (100/70/30),21.79644619007963,-33.081286789903416,6.029211900357752,0.6588754037443314,51.11111111111111,45,31.147484945405616,72.20218369770569,6,376.21555021515564
Weekly RSI,7,Unrestricted,Fixed 100% Exposure,15.713790966710107,-36.169203365352395,3.473390871427136,0.434452227437302,39.130434782608695,69,21.438982896118482,79.15616629610636,8,366.11100043384005
Weekly RSI,7,Unrestricted,Regime Schedule 1 (100/70/30),20.440829815593297,-32.70351344292584,5.646852545390897,0.6250346725365342,48.333333333333336,60,35.78639294761086,72.17693524882151,9,454.4246971641728
Weekly RSI,7,Max 2 / Sector,Fixed 100% Exposure,16.234266836023934,-42.24625989417419,4.589325548552697,0.38427701947321163,39.436619718309856,71,31.216495577615547,76.12786597091161,9,595.1899626129455
Weekly RSI,7,Max 2 / Sector,Regime Schedule 1 (100/70/30),20.40091056237616,-30.34616078119195,5.9539972240544845,0.6722731982300808,47.540983606557376,61,34.57094430412546,71.71195955604469,9,454.4246971641728
Weekly RSI,10,Unrestricted,Fixed 100% Exposure,21.992230915406186,-31.953924078035538,3.9177313885957648,0.6882482058134196,39.784946236559136,93,29.313010994976253,80.00366075255009,12,595.1899626129455
Weekly RSI,10,Unrestricted,Regime Schedule 1 (100/70/30),36.371816725654995,-30.826074459485252,8.906201550097828,1.179904264925413,50.0,74,60.77986188494227,74.84491483340928,15,1465.8324884313088
Weekly RSI,10,Max 2 / Sector,Fixed 100% Exposure,17.650134990362808,-37.67918787648919,3.848688138498962,0.468431937764137,39.0,100,27.10156884938965,77.7000077987718,12,595.1899626129455
Weekly RSI,10,Max 2 / Sector,Regime Schedule 1 (100/70/30),31.644530067992704,-29.145923901295983,7.509592844137718,1.0857274648475157,50.0,80,49.63233033575722,73.44762814448391,12,1465.8324884313088
Weekly RSI,15,Unrestricted,Fixed 100% Exposure,26.62750415347974,-32.6610871017892,4.827862745389889,0.8152669282101472,40.87591240875913,137,38.07307846420985,78.1278757847962,15,1465.8324884313088
Weekly RSI,15,Unrestricted,Regime Schedule 1 (100/70/30),28.692364633066237,-32.26603088530553,6.0584197890459075,0.8892436982738152,43.36283185840708,113,48.281639119701225,73.02140873833478,18,1465.8324884313088
Weekly RSI,15,Max 2 / Sector,Fixed 100% Exposure,30.843554587082878,-35.68584303716087,4.844211160441998,0.8643078588605696,40.140845070422536,142,37.13615121734874,77.63585425588487,19,1465.8324884313088
Weekly RSI,15,Max 2 / Sector,Regime Schedule 1 (100/70/30),27.585938417565202,-30.49986066150195,4.7596075518561305,0.9044611293055904,43.08943089430895,123,36.25189435573791,71.03897951179027,14,1465.8324884313088
