symbol,entry_date,exit_date,return_pct,pnl_inr,holding_days,exit_reason
FMGOETZE,2025-08-18,2025-11-03,-13.554885928971483,-512908.9307325768,52,MONTHLY_EMA_BREAK
UNICHEMLAB,2024-12-10,2025-03-03,-23.148173522238356,-566970.4368558392,58,MONTHLY_EMA_BREAK
TVTODAY,2022-02-01,2022-06-01,-31.483900134769847,-625130.4173095309,81,MONTHLY_EMA_BREAK
IPCALAB,2024-12-06,2025-03-03,-10.478725611682368,-631029.8027115499,60,MONTHLY_EMA_BREAK
HDFCAMC,2025-10-03,2026-02-02,-12.013392144624602,-646187.2124352311,82,MONTHLY_EMA_BREAK
CHOLAFIN,2025-06-09,2025-08-01,-11.361022845274627,-671912.0257356317,39,MONTHLY_EMA_BREAK
LPDC,2022-02-03,2022-07-01,-36.63602214394686,-730063.0195301384,101,MONTHLY_EMA_BREAK
CALSOFT,2022-02-03,2022-06-01,-42.918972793053165,-855266.29363077,79,MONTHLY_EMA_BREAK
RTNPOWER,2021-08-02,2021-11-01,-43.247438368951876,-897800.840867851,62,MONTHLY_EMA_BREAK
PANACEABIO,2025-06-06,2025-08-01,-15.530552692055826,-919376.8008508576,40,MONTHLY_EMA_BREAK
BANKBARODA,2026-02-04,2026-04-01,-11.979663714675288,-1173325.850166845,37,MONTHLY_EMA_BREAK
