Factor,Period,Quartile,Trades,Win Rate (%),Avg Return (%),Median Return (%),Profit Factor,Winners >50%,Winners >100%
roce,Out-of-Sample (2023-2026),Q2,503,31.411530815109344,1.6141408549243503,-2.9999999999999996,1.7040669141134208,3,0
roce,Out-of-Sample (2023-2026),Q3,519,32.177263969171484,2.455460191277678,-2.9999999999999987,2.073580016342513,9,1
roce,Out-of-Sample (2023-2026),Q4,565,31.327433628318584,2.8681911557986175,-3.0,2.171596098997709,11,3
interest_coverage,Full Period,Q1,1142,33.274956217162874,2.1844770904916335,-2.9999999999999987,1.9879522207898133,8,2
interest_coverage,Full Period,Q2,1142,31.34851138353765,2.552110930452051,-2.999999999999999,2.11883829295533,21,4
interest_coverage,Full Period,Q3,1142,27.75831873905429,2.3400247069839697,-3.0000000000000004,1.9469378176825627,23,7
interest_coverage,Full Period,Q4,1142,28.108581436077056,2.6087660700993927,-3.0000000000000004,2.007616907466942,26,6
interest_coverage,In-Sample (2018-2022),Q1,558,34.587813620071685,2.3031741522251146,-2.9999999999999987,2.0653925164399363,4,2
interest_coverage,In-Sample (2018-2022),Q2,565,27.964601769911507,2.466847464345096,-3.0,2.051942287241916,13,2
interest_coverage,In-Sample (2018-2022),Q3,568,26.23239436619718,2.8469698647508426,-3.0000000000000013,2.09953099116965,13,6
interest_coverage,In-Sample (2018-2022),Q4,572,25.0,2.707135425471593,-3.000000000000002,1.9940758866517583,17,4
interest_coverage,Out-of-Sample (2023-2026),Q1,584,32.02054794520548,2.0710644869860135,-2.999999999999999,1.9171189137495916,4,0
interest_coverage,Out-of-Sample (2023-2026),Q2,577,34.66204506065858,2.63560115289647,-2.9999999999999987,2.188083628969704,8,2
interest_coverage,Out-of-Sample (2023-2026),Q3,574,29.268292682926827,1.83837862752128,-3.0,1.7808683473856508,10,1
interest_coverage,Out-of-Sample (2023-2026),Q4,570,31.2280701754386,2.510051559094308,-2.9999999999999996,2.022694299047772,9,2
pe,Full Period,Q1,1055,28.720379146919434,3.3762785514365827,-3.0000000000000004,2.3873624663178243,28,9
pe,Full Period,Q2,1055,34.976303317535546,3.226299438774301,-2.9999999999999987,2.450956915585593,15,6
pe,Full Period,Q3,1055,29.00473933649289,1.7921736213625543,-2.9999999999999996,1.7736002390131942,13,2
pe,Full Period,Q4,1055,29.099526066350712,1.3894615037375926,-2.9999999999999996,1.574661036780306,15,1
pe,In-Sample (2018-2022),Q1,655,27.328244274809162,3.3715177043696407,-3.000000000000001,2.367518500664495,19,8
pe,In-Sample (2018-2022),Q2,516,32.55813953488372,3.4762251518870317,-2.999999999999999,2.537644542158513,10,4
pe,In-Sample (2018-2022),Q3,443,26.86230248306998,1.5274356115581826,-3.0000000000000004,1.6428243523432349,6,1
pe,In-Sample (2018-2022),Q4,445,28.314606741573034,1.4309057056586234,-3.0000000000000004,1.563329692433335,6,0
pe,Out-of-Sample (2023-2026),Q1,400,31.0,3.3840744385086996,-3.0,2.4210025414100054,9,1
pe,Out-of-Sample (2023-2026),Q2,539,37.291280148423006,2.9870384592452304,-2.9999999999999987,2.3652081171942707,5,2
pe,Out-of-Sample (2023-2026),Q3,612,30.555555555555557,1.9838058735575488,-2.999999999999999,1.8725312344642242,7,1
pe,Out-of-Sample (2023-2026),Q4,610,29.67213114754098,1.359227618729628,-2.999999999999999,1.5836775955668523,9,1
mcap_cr,Full Period,Q1,1155,33.246753246753244,1.5938247369458451,-2.9999999999999982,1.7840215881525288,7,0
mcap_cr,Full Period,Q2,1154,31.109185441941072,1.9246733164316547,-2.999999999999999,1.8412600637127565,14,3
mcap_cr,Full Period,Q3,1155,29.523809523809526,3.219762878459588,-3.0,2.31498464891239,26,7
mcap_cr,Full Period,Q4,1155,26.666666666666668,2.855239368998333,-3.0000000000000018,2.022341370718497,32,9
mcap_cr,In-Sample (2018-2022),Q1,439,32.11845102505695,1.6975413553859353,-2.9999999999999982,1.8468398409461915,2,0
mcap_cr,In-Sample (2018-2022),Q2,574,30.139372822299652,1.994771532848481,-2.9999999999999996,1.8626686687532652,8,2
mcap_cr,In-Sample (2018-2022),Q3,554,28.158844765342963,2.9710297269801464,-3.0000000000000018,2.221647877214105,11,5
mcap_cr,In-Sample (2018-2022),Q4,724,25.276243093922652,3.2846270271104734,-3.000000000000002,2.14618481219042,27,7
mcap_cr,Out-of-Sample (2023-2026),Q1,716,33.93854748603352,1.5302331231257342,-2.9999999999999982,1.746364246311338,5,0
mcap_cr,Out-of-Sample (2023-2026),Q2,580,32.068965517241374,1.8553002539777619,-2.999999999999999,1.8196170280968451,6,1
mcap_cr,Out-of-Sample (2023-2026),Q3,601,30.782029950083196,3.449044352535479,-2.9999999999999996,2.3999127077130997,15,2
mcap_cr,Out-of-Sample (2023-2026),Q4,431,29.00232018561485,2.1339478040953415,-3.0000000000000013,1.7990966336063205,5,2
