Ranking Method,Positions,CAGR,Max DD,Profit Factor,Win Rate,Avg Trade,Median Trade,Sharpe,Calmar,Annual Turnover,>50% Winners,>100% Winners,>200% Winners,>500% Winners,Maximum Winner,Worst Day,Worst Month,Worst Year,OOS CAGR,OOS Max DD
Monthly RSI,10,17.02669270087651,-44.087736715407324,3.3387603305948947,40.0,22.157261772196907,-4.482871344549491,0.820859860301514,0.38620019917979137,123.76052385406922,18.0,11.0,3.0,1.0,595.1899626129455,-10.351669284757515,-29.01321349272976,-12.45863311749188,34.01121890867236,-26.442858594747648
Monthly RSI,15,25.506520906536245,-37.17462667147593,5.031272273662217,41.66666666666667,38.309922718315796,-4.256785950691787,1.2973295650145182,0.6861271568897123,113.15247895229187,26.0,17.0,7.0,3.0,1465.8324884313088,-10.881197180469727,-25.628076101278086,9.079870758720165,31.440040434384265,-25.59673957582499
Weekly RSI,2,0.6543988123030253,-53.121575395054464,1.3634906737167602,35.714285714285715,3.3756521950016953,-6.317185773325491,0.022856925413642086,0.012318889404849029,165.01403180542562,2.0,1.0,0.0,0.0,125.48034401088421,-12.138388761132845,-39.185074698502376,-36.691001529075415,0.0,0.0
Weekly RSI,3,12.763705875170373,-39.2390262468378,2.520294551442371,36.11111111111111,13.95932319211829,-6.317185773325491,0.5014503471403978,0.3252809026115671,141.44059869036485,5.0,3.0,1.0,0.0,266.0918054390815,-12.69316327235408,-34.134347104044316,-23.135134471200303,6.526041245524494,-47.20359956684607
Weekly RSI,5,15.717600748034855,-39.86039597727144,2.7446896200554223,37.5,15.296390434093286,-5.0569156269906035,0.691950318278311,0.3943162219712292,132.01122544434048,10.0,5.0,1.0,0.0,266.0918054390815,-12.49068056647179,-21.140908168502946,-24.582163317021866,27.320577919337087,-36.46172173752371
Weekly RSI,7,15.713790966710107,-36.169203365352395,3.473390871427136,39.130434782608695,21.438982896118482,-4.145489215643961,0.7658087767469302,0.434452227437302,116.18334892422826,13.0,8.0,2.0,0.0,366.11100043384005,-12.203869570251168,-20.0593632407421,-20.757578000133904,35.49177533978807,-28.80742463486693
Weekly RSI,10,21.992230915406186,-31.953924078035538,3.9177313885957648,39.784946236559136,29.313010994976253,-4.145489215643961,1.1390226592400634,0.6882482058134196,109.61646398503275,18.0,12.0,5.0,1.0,595.1899626129455,-9.834663086763939,-21.705911351310192,2.1046779858426623,33.07689939534284,-26.73359258087779
Weekly RSI,15,26.62750415347974,-32.6610871017892,4.827862745389889,40.87591240875913,38.07307846420985,-4.482871344549491,1.383675437822319,0.8152669282101472,107.65201122544435,24.0,15.0,8.0,3.0,1465.8324884313088,-10.859688840123328,-21.480855880948248,9.079870758720187,28.192319757319396,-26.353745873050947
3M Return,2,12.57313832358966,-62.358101918288774,2.906260763808051,37.03703703703704,20.28266522884112,-8.76149607960703,0.42290300702221595,0.20162798316191421,159.12067352666043,2.0,1.0,1.0,1.0,595.1899626129455,-12.138388761132845,-40.538114261361216,-31.756872618826893,0.0,0.0
3M Return,3,28.86804788860433,-58.785344070974176,4.447805351261689,37.5,37.085781000890194,-8.574258339600174,1.0206691813090545,0.49107559621919783,125.72497661365763,5.0,4.0,2.0,1.0,595.1899626129455,-12.69316327235408,-38.32070731263981,-23.64910478601171,2.4676712088095965,-51.468995145058514
3M Return,5,27.299791651939987,-32.7057048639375,5.3121865157579204,38.775510204081634,40.768508973192105,-5.630959909431715,1.1270623778912687,0.8347103896862267,115.50982226379794,10.0,6.0,4.0,1.0,595.1899626129455,-12.49068056647179,-21.140908168502946,6.001374893031208,20.291661006889793,-38.16768057271962
3M Return,7,20.663761184485587,-30.609499279368045,4.1127113034168135,38.028169014084504,30.502550497465126,-6.276242422871499,0.9695647425280665,0.6750767464665369,119.55098222637979,13.0,8.0,4.0,1.0,595.1899626129455,-12.203869570251168,-20.0593632407421,4.5799640985245915,25.161601671908773,-29.57601305241251
3M Return,10,26.104408014060642,-40.483335628519576,4.181168758554606,40.42553191489361,32.09649914718394,-4.314180280096727,1.2348322902112532,0.6448186052058094,110.79513564078579,18.0,12.0,5.0,1.0,595.1899626129455,-9.834663086763939,-25.289548612397194,10.81436087153329,31.129797236087132,-30.365203238200106
3M Return,15,27.08950890650048,-32.83625653915475,5.060888939739695,39.568345323741006,41.61372779094845,-5.3133274398513795,1.3435454039927501,0.824987734950794,109.22357343311506,27.0,18.0,8.0,3.0,1465.8324884313088,-10.877651468633488,-21.557449533121066,9.079870758720187,29.903870516560183,-27.920257576114565
6M Return,2,10.741192232221962,-62.358101918288774,2.713800463670154,35.714285714285715,18.346014360996005,-8.456498140854261,0.35946901383624863,0.17225014716286158,165.01403180542562,1.0,1.0,1.0,1.0,595.1899626129455,-12.138388761132845,-40.538114261361216,-31.756872618826893,0.0,0.0
6M Return,3,17.137488176686944,-53.809189607709285,3.7423699629807365,37.142857142857146,27.04965857202909,-7.537428884748118,0.6457808150125871,0.3184862716131975,137.51169317118803,4.0,3.0,2.0,1.0,595.1899626129455,-12.69316327235408,-34.19782512676493,-13.066734662760881,1.9069161919313293,-48.4655412302363
6M Return,5,20.700856563691605,-52.281538664770345,3.2959873212174298,40.35087719298245,20.72262941728524,-4.482871344549491,0.843764594942275,0.39594964288303885,134.36856875584658,8.0,4.0,2.0,1.0,595.1899626129455,-12.49068056647179,-33.70418504395359,2.022204702483954,28.444181374423216,-36.116595180490805
6M Return,7,18.71116382145239,-47.4441509202114,3.4099141593390874,40.78947368421053,21.4967942344658,-4.314180280096727,0.8366096515829751,0.3943829420178613,127.97006548175867,12.0,6.0,3.0,1.0,595.1899626129455,-12.203869570251168,-31.3644106315919,-11.559384990425448,32.08425754116333,-29.912882803648415
6M Return,10,21.309798998085338,-44.12960822435396,3.3590601001158675,41.74757281553398,22.7953234135188,-4.482871344549491,0.9649300126451784,0.4828911892837749,121.40318054256313,17.0,10.0,4.0,1.0,595.1899626129455,-9.834663086763939,-30.49378871223728,-13.63574291202072,31.39167247755299,-28.061912671449356
6M Return,15,27.799441323953932,-38.17346449464335,5.082521092216581,41.605839416058394,40.235738485445886,-4.482871344549491,1.3187554408885191,0.7282399355671493,107.65201122544435,25.0,16.0,8.0,3.0,1465.8324884313088,-10.859688840123328,-27.006601631467454,9.079870758720187,30.594848374953475,-25.596739575824966
12M Return,2,-4.892077249987603,-60.08424113625341,0.798478651412707,30.0,-1.9178594393172228,-8.456498140854261,-0.17029424899951118,-0.08142030518274847,176.80074836295603,1.0,0.0,0.0,0.0,63.287140883023426,-12.138388761132845,-39.185074698502376,-35.666925816724095,0.0,0.0
12M Return,3,1.447551725506635,-56.1698846190996,1.2617957740178483,29.268292682926827,2.5489146696512144,-8.76149607960703,0.056335939326523386,0.025770957788551697,161.08512628624882,4.0,1.0,0.0,0.0,153.79361058112357,-12.69316327235408,-34.134347104044316,-31.003010685447464,8.5694249255017,-46.498795240443755
12M Return,5,10.246923756929348,-36.486958604847565,2.2194383217567024,35.0,10.603177977365219,-5.293644208162153,0.4613178532386779,0.2808379801644516,141.44059869036482,8.0,3.0,1.0,0.0,266.0918054390815,-12.49068056647179,-21.140908168502946,-19.75818818557772,27.35753283244837,-36.116595180490805
12M Return,7,15.423274157774912,-31.775563612085104,4.544848254894116,42.25352112676056,28.979402308626984,-3.353159574674299,0.7617479502117644,0.48538160789409335,119.55098222637979,12.0,7.0,3.0,1.0,595.1899626129455,-12.203869570251168,-20.05936324074209,-5.524108674976658,33.030381470662086,-29.52944747043912
12M Return,10,22.982074321914858,-43.83570147689886,3.528881712199276,41.17647058823529,24.439558289726687,-4.314180280096727,1.0534511803773359,0.5242775534007655,120.2245088868101,16.0,9.0,4.0,1.0,595.1899626129455,-9.83466308676395,-30.184022594526617,9.593132319873622,32.915276644241764,-26.442858594747648
12M Return,15,28.010436889289526,-39.733954222269915,4.874576694178533,40.140845070422536,38.75018346662668,-4.7969115109691,1.358494800390144,0.7049496441406367,111.58091674462113,25.0,16.0,8.0,3.0,1465.8324884313088,-10.859688840123328,-28.00660039750952,9.079870758720165,30.930159268381875,-25.766349170120257
Relative Volume,2,0.340073976813815,-60.241101454633586,1.376255720416598,36.0,3.868462517768939,-4.482871344549491,0.012958662762860777,0.005645215120608613,147.33395696913004,2.0,1.0,0.0,0.0,149.27744773745647,-15.332230988619555,-39.185074698502376,-39.681519671325184,0.0,0.0
Relative Volume,3,10.305870674483542,-44.08543926450242,2.38955905897884,35.294117647058826,13.930871089888447,-6.317185773325491,0.41408345635639354,0.23377039780982345,133.58278765201123,4.0,3.0,1.0,0.0,266.0918054390815,-12.69316327235408,-34.134347104044316,-19.698323462837475,5.484142575505868,-47.42495326648587
Relative Volume,5,15.884541714398615,-36.059068872442054,3.1630479678613628,39.21568627450981,21.15319218595498,-3.353159574674299,0.7044556370555016,0.44051447281097955,120.2245088868101,8.0,5.0,2.0,0.0,410.0092232845442,-10.666008759756851,-19.400769812923112,-0.9405124259236564,21.463184101741774,-38.16768057271962
Relative Volume,7,14.377871614584015,-29.737646378802662,3.1917044707390385,38.46153846153847,20.24688151467798,-4.425477015144553,0.7029564417683484,0.4834905705527768,131.3376987839102,10.0,6.0,3.0,1.0,595.1899626129455,-12.203869570251168,-20.05936324074209,-6.579643870964713,30.599639897091425,-35.32656966178413
Relative Volume,10,19.53363116430864,-40.25757145639148,3.3194731809802476,41.904761904761905,20.06656861293435,-3.353159574674299,0.9624968797128679,0.4852163321741404,123.76052385406922,15.0,8.0,3.0,1.0,595.1899626129455,-10.351669284757502,-25.080210447885264,-2.0266910750106226,27.370411417146556,-28.907722092402715
Relative Volume,15,27.654643692602534,-32.770958504405165,5.150251283640367,43.16546762589928,38.02331828142043,-3.312480583235564,1.4217989733136345,0.8438765588405087,109.22357343311506,23.0,15.0,7.0,3.0,1465.8324884313088,-10.881197180469727,-21.798912416714423,9.079870758720165,28.342981121026824,-25.59673957582499
Composite Momentum,2,-4.028022974381907,-59.55081246864684,1.0446164060075727,31.03448275862069,0.46528768560812606,-8.151500202101492,-0.14223642580555582,-0.06764010107339237,170.90739008419084,1.0,1.0,0.0,0.0,116.56542038707481,-14.718695856710129,-39.185074698502376,-35.666925816724095,0.0,0.0
Composite Momentum,3,8.666672399374997,-41.21353281486977,2.122660928399935,32.432432432432435,11.356378798336673,-8.151500202101492,0.342928907923662,0.21028705397097325,145.36950420954165,4.0,3.0,1.0,0.0,266.0918054390815,-12.69316327235408,-34.134347104044316,-21.000298859884047,9.48122629582726,-47.20359956684607
Composite Momentum,5,11.00463234640272,-33.73187522498648,2.1773968536514765,34.42622950819672,10.990315158479257,-5.630959909431715,0.4926810737542564,0.32623838055262255,143.7979420018709,8.0,4.0,1.0,0.0,266.0918054390815,-12.49068056647179,-21.140908168502946,-17.554808674560938,28.40052337984309,-36.46172173752371
Composite Momentum,7,15.375621867349064,-37.66806081017399,3.48160549457931,39.473684210526315,22.018872840629495,-4.314180280096727,0.7447115780219895,0.4081872423651862,127.97006548175867,12.0,8.0,2.0,1.0,595.1899626129455,-12.203869570251168,-24.76122590621277,-4.000342799694723,35.12946664646452,-28.80742463486693
Composite Momentum,10,22.037964376338294,-45.95920026253947,3.5955586145836533,42.71844660194174,24.436532407336138,-4.145489215643961,0.9911465455592507,0.47951148519660053,121.40318054256313,19.0,12.0,3.0,1.0,595.1899626129455,-9.834663086763939,-31.4113731039695,-11.49945770426476,33.720979132723826,-26.442858594747648
Composite Momentum,15,27.90914864576386,-39.256094632813635,4.9387946888015115,42.142857142857146,38.833146055041844,-4.256785950691787,1.32078061857973,0.7109507175080779,110.00935453695043,27.0,18.0,7.0,3.0,1465.8324884313088,-10.859688840123328,-27.559269461698666,9.079870758720187,32.9870175799821,-25.59673957582499
