date,baseline,eviction_at_45_days,eviction_at_60_days,eviction_at_90_days
2018-11-06,10753082.46,10753082.46,10753082.46,10753082.46
2018-11-07,10747576.47,10747576.47,10747576.47,10747576.47
2018-11-09,10635365.51,10635365.51,10635365.51,10635365.51
2018-11-12,10520116.91,10520116.91,10520116.91,10520116.91
2018-11-13,10514800.67,10514800.67,10514800.67,10514800.67
2018-11-14,10518598.08,10518598.08,10518598.08,10518598.08
2018-11-15,10486320.42,10486320.42,10486320.42,10486320.42
2018-11-16,10447017.94,10447017.94,10447017.94,10447017.94
2018-11-19,10455182.78,10455182.78,10455182.78,10455182.78
2018-11-20,10454423.01,10454423.01,10454423.01,10454423.01
2018-11-21,10447777.71,10447777.71,10447777.71,10447777.71
2018-11-22,10443411.01,10443411.01,10443411.01,10443411.01
2018-11-26,10364046.28,10364046.28,10364046.28,10364046.28
2018-11-27,10346958.27,10346958.27,10346958.27,10346958.27
2018-11-28,10256772.03,10256772.03,10256772.03,10256772.03
2018-11-29,10294935.22,10294935.22,10294935.22,10294935.22
2018-11-30,10247278.86,10247278.86,10247278.86,10247278.86
2018-12-03,10352844.52,10352844.52,10352844.52,10352844.52
2018-12-04,10459929.01,10459929.01,10459929.01,10459929.01
2018-12-05,10399931.59,10399931.59,10399931.59,10399931.59
2018-12-06,10492775.95,10492775.95,10492775.95,10492775.95
2018-12-07,10452714.43,10452714.43,10452714.43,10452714.43
2018-12-10,10670870.57,10670870.57,10670870.57,10670870.57
2018-12-11,10701628.69,10701628.69,10701628.69,10701628.69
2018-12-12,10649795.39,10649795.39,10649795.39,10649795.39
2018-12-13,10607075.75,10607075.75,10607075.75,10607075.75
2018-12-14,10581633.14,10581633.14,10581633.14,10581633.14
2018-12-17,10564925.38,10564925.38,10564925.38,10564925.38
2018-12-18,10525052.89,10525052.89,10525052.89,10525052.89
2018-12-19,10470561.48,10470561.48,10470561.48,10470561.48
2018-12-20,10474738.42,10474738.42,10474738.42,10474738.42
2018-12-21,10530939.14,10530939.14,10530939.14,10530939.14
2018-12-24,10585810.8,10585810.8,10585810.8,10585810.8
2018-12-26,10627011.63,10627011.63,10627011.63,10627011.63
2018-12-27,10649795.39,10649795.39,10649795.39,10649795.39
2018-12-28,10689287.64,10689287.64,10689287.64,10689287.64
2018-12-31,10640302.22,10640302.22,10640302.22,10640302.22
2019-01-01,10700109.87,10700109.87,10700109.87,10700109.87
2019-01-02,10742070.47,10742070.47,10742070.47,10742070.47
2019-01-03,10811182.26,10811182.26,10811182.26,10811182.26
2019-01-04,10745678.12,10745678.12,10745678.12,10745678.12
2019-01-07,10717767.88,10717767.88,10717767.88,10717767.88
2019-01-08,10694793.63,10694793.63,10694793.63,10694793.63
2019-01-09,10760108.01,10760108.01,10760108.01,10760108.01
2019-01-10,10852383.08,10852383.08,10852383.08,10852383.08
2019-01-11,10835295.08,10835295.08,10835295.08,10835295.08
2019-01-14,10864154.85,10864154.85,10864154.85,10864154.85
2019-01-15,10868331.79,10868331.79,10868331.79,10868331.79
2019-01-16,10903456.61,10903456.61,10903456.61,10903456.61
2019-01-17,10941240.27,10941240.27,10941240.27,10941240.27
2019-01-18,10878584.74,10878584.74,10878584.74,10878584.74
2019-01-21,10853712.14,10853712.14,10853712.14,10853712.14
2019-01-22,10908583.08,10908583.08,10908583.08,10908583.08
2019-01-23,10910292.39,10910292.39,10910292.39,10910292.39
2019-01-24,10855230.96,10855230.96,10855230.96,10855230.96
2019-01-25,10886748.85,10886748.85,10886748.85,10886748.85
2019-01-28,11005605.1,11005605.1,11005605.1,11005605.1
2019-01-29,11075665.7,11075665.7,11075665.7,11075665.7
2019-01-30,11101867.36,11101867.36,11101867.36,11101867.36
2019-01-31,11144587.0,11144587.0,11144587.0,11144587.0
2019-02-01,11189775.73,11189775.73,11189775.73,11189775.73
2019-02-04,11189015.96,11189015.96,11189015.96,11189015.96
2019-02-05,11204015.13,11204015.13,11204015.13,11204015.13
2019-02-06,11255279.14,11255279.14,11255279.14,11255279.14
2019-02-07,11123892.07,11123892.07,11123892.07,11123892.07
2019-02-08,11093513.48,11093513.48,11093513.48,11093513.48
2019-02-11,11126550.19,11126550.19,11126550.19,11126550.19
2019-02-12,11090285.35,11090285.35,11090285.35,11090285.35
2019-02-14,11090285.35,11090285.35,11090285.35,11090285.35
2019-02-15,11189585.24,11189585.24,11189585.24,11189585.24
2019-02-18,11276164.56,11276164.56,11276164.56,11276164.56
2019-02-19,11305214.09,11305214.09,11305214.09,11305214.09
2019-02-20,11361794.34,11361794.34,11361794.34,11361794.34
2019-02-21,11272747.39,11272747.39,11272747.39,11272747.39
2019-02-22,11204015.13,11204015.13,11204015.13,11204015.13
2019-02-25,11228318.44,11228318.44,11228318.44,11228318.44
2019-02-26,11215977.38,11215977.38,11215977.38,11215977.38
2019-02-27,11238571.39,11238571.39,11238571.39,11238571.39
2019-02-28,11203066.32,11203066.32,11203066.32,11203066.32
2019-03-01,11040350.4,11040350.4,11040350.4,11040350.4
2019-03-05,10813080.6,10813080.6,10813080.6,10813080.6
2019-03-06,10830358.37,10830358.37,10830358.37,10830358.37
2019-03-07,10755740.58,10755740.58,10755740.58,10755740.58
2019-03-08,10810422.48,10810422.48,10810422.48,10810422.48
2019-03-11,10823143.79,10823143.79,10823143.79,10823143.79
2019-03-12,10768651.65,10768651.65,10768651.65,10768651.65
