date,futures_1.0x,futures_1.25x,futures_1.5x,futures_1.75x,futures_2.0x,futures_2.5x,futures_3.0x
2020-06-23,11400531.837487541,11480586.56554242,11559876.794408957,11638395.985279968,11716137.641407132,11869262.573531607,12019200.463031689
2020-06-24,11352206.983409066,11419674.321283827,11486387.12997692,11552339.041767525,11617523.730919918,11745566.349093527,11870465.223373791
2020-06-25,11364540.858275183,11434609.544484401,11503942.729660928,11572533.909987554,11640376.62370215,11773791.015323205,11904135.056589847
2020-06-26,11418772.474693976,11501900.09626023,11584304.25609621,11665978.164408997,11746915.073603114,11906551.11604194,12063159.251660153
2020-06-29,11376335.191557992,11448344.125229985,11519638.40210715,11590211.38328702,11660056.472000612,11797536.796421897,11932027.448952384
2020-06-30,11343735.431865886,11407111.299032787,11469791.677646464,11531769.988046931,11593039.69268512,11713427.345834572,11830903.18398526
2020-07-01,11290515.900068156,11340068.948129006,11388932.110326294,11437099.019984808,11484563.352447513,11577359.198050018,11667269.895306803
2020-07-02,11272601.979704177,11317236.991667056,11361218.52485576,11404540.126707146,11447195.386719044,11530481.45032261,11611026.277935777
2020-07-03,11275978.60952422,11320946.79675597,11365269.474220311,11408940.14435067,11451952.351670459,11535975.767224126,11617288.92393677
2020-07-06,11276253.05163918,11320838.029407118,11364808.987550005,11408159.286407433,11450882.328479387,11534420.463871166,11615371.462002601
2020-07-07,11252687.444950908,11290742.19447938,11328140.5658068,11364876.22848798,11400942.894109186,11471044.291476704,11538395.296299653
2020-07-08,11231467.342887169,11263705.723021794,11295295.913765298,11326231.645927057,11356506.692326548,11415050.029969972,11470876.954525512
2020-07-09,11254070.715509444,11291427.591980552,11328135.816142038,11364189.02959961,11399580.916020676,11468355.653534576,11534410.344330698
2020-07-10,11291579.213128828,11337829.159226436,11383422.978424484,11428354.247604437,11472616.586773485,11559109.171489606,11642850.559902692
2020-07-13,11294190.421163311,11340553.310989734,11386230.390117321,11431215.197344605,11475501.311553951,11561951.977770958,11645531.827214502
2020-07-14,11325172.366435146,11378971.15196536,11432144.32533391,11484684.234490082,11536583.254153397,11638428.259311281,11737618.88397517
2020-07-15,11336021.122338794,11392099.681099117,11447564.919414105,11502408.59232707,11556622.473137585,11663128.044941086,11767016.199079119
2020-07-16,11509536.188003367,11608956.068889676,11707928.946885286,11806443.96366469,11904490.261123348,12099133.269714523,12291771.130934458
2020-07-17,11573155.697116591,11687929.949690962,11802223.892251713,11916026.87281414,12029328.245248258,12254383.613156017,12477304.960953714
2020-07-20,11569463.638729773,11682721.925886955,11795450.280509837,11907638.56384682,12019276.647362443,12240861.754315546,12460124.792913396
2020-07-21,11507181.79840357,11604299.98532975,11700848.981122285,11796819.666925795,11892202.943561735,12081170.972963814,12267680.681869667
2020-07-22,11487522.590541458,11579300.8209284,11670525.968954945,11761188.675341895,11851279.596033374,12029708.782409208,12205739.093951412
2020-07-23,11647331.584685232,11778531.26215137,11909149.864709238,12039176.837983456,12168601.632073004,12425602.50820508,12680068.200742839
2020-07-24,11590910.014502443,11707528.922956586,11823565.032436665,11939008.65808262,12053850.129954413,12281688.009425592,12507001.623731174
2020-07-27,11533429.39602947,11635040.434839765,11736002.42485078,11836306.729099099,11935944.73360448,12133187.504174989,12327662.295742283
2020-07-28,11525309.371589417,11624489.16324971,11723045.430259254,11820969.129184466,11918251.233925693,12110854.645206075,12300783.815150399
2020-07-29,11704046.651055874,11847691.258273773,11990804.424946686,12133373.550278906,12275386.010605417,12557690.33135728,12837615.966631461
2020-07-30,11822333.458878178,11995045.095846288,12167205.597877719,12338799.938818835,12509813.035032377,12850034.877177866,13187749.34275585
2020-07-31,12012319.203814736,12232227.56624771,12451649.533206213,12670568.916807555,12888969.471610539,13324148.831162933,13757056.53456939
2020-08-03,12047981.50195332,12276329.255851392,12504186.766835216,12731537.662681296,12958365.512756836,13410386.066963876,13860115.853908192
2020-08-04,12227385.69173354,12500355.636581931,12772926.476727666,13045079.632522568,13316796.449086338,13858846.07565552,14398924.655980714
2020-08-05,12173499.750630429,12432476.617308034,12691034.127548112,12949154.363917504,13206819.339250242,13720711.216011804,14232564.507284429
2020-08-06,12227073.582071893,12498854.352187624,12770167.408875545,13040995.009988133,13311319.346701512,13850386.664635183,14387225.599028647
2020-08-07,12240191.404419642,12514665.633047324,12788625.444259798,13062053.361396644,13334931.842736335,13878970.012130547,14420598.35738584
2020-08-10,12663032.68602512,13042611.398102712,13421615.335474461,13800024.370750636,14177818.293223055,14931479.547582857,15682435.79250558
2020-08-11,12535434.227250427,12882322.476303162,13228510.918240802,13573981.476541031,13918716.006455919,14605904.067478951,15289928.619838044
2020-08-12,12504370.970705492,12842954.808277123,13180812.66356206,13517927.462749192,13854282.07648335,14524641.958279787,15191754.200185003
2020-08-13,12486306.854002794,12819838.116495373,13152616.84973797,13484626.34631859,13815849.845908102,14475871.553903809,15132546.86884381
2020-08-14,12497296.300551787,12833233.744609961,13168468.726315051,13502984.10693989,13836762.692295961,14502040.428967448,15164163.310540494
2020-08-17,12510868.074450992,12849638.852809384,13187671.014826609,13524947.548261441,13861451.385533245,14532072.430386543,15199396.538848482
2020-08-18,12529346.116833966,12872237.373690553,13214377.839790957,13555750.481106719,13896338.208206339,14575090.29083874,15250496.301098304
2020-08-19,12516975.027425176,12856234.431883117,13194715.897304326,13532402.877410393,13869278.775642993,14540530.694417287,15208337.91083291
2020-08-20,12574927.675916184,12928208.32973051,13280711.606795507,13632420.843265656,13983319.327422816,14682616.958010599,15378469.881907176
2020-08-21,12627524.32717703,12994829.595258195,13361865.164151829,13728612.492547639,14095052.935499635,14826938.071560163,15557369.36836147
2020-08-24,12624796.608689433,12990979.928184154,13356879.081090448,13722475.755993789,14087751.542289797,14817266.31502828,15545274.158249611
2020-08-25,12669389.136533767,13046884.915452985,13424322.487198694,13801683.0630159,14178947.74082474,14933113.230990285,15686665.49698043
2020-08-26,12601073.89596521,12961072.265944377,13321006.651239533,13680858.508521808,14040609.181624573,14759731.790038222,15478222.993350754
2020-08-27,12650085.926503152,13021647.21712353,13393030.093040092,13764216.219063018,14135187.153679658,14876409.154782332,15616546.461695334
2020-08-28,12634925.975356884,13002765.668426443,13370615.8614391,13738458.353209447,14106274.824249625,14841755.837453403,15576909.996854113
2020-08-31,12286580.765198732,12563827.130391918,12839855.058346566,13114652.869353974,13388208.896652458,13931549.00203422,14469782.32606545
2020-09-01,12501240.975711675,12830776.724328542,13158703.784216141,13485009.872350175,13809682.74866367,14454080.12617341,15091798.89217379
2020-09-02,12643928.4270643,13009630.624267697,13374080.073898852,13737262.799220756,14099164.829229334,14819070.953010501,15533686.823866077
2020-09-03,12625815.024101129,12988238.158228574,13350036.410203855,13711192.363703143,14071688.54567719,14790631.424660783,15506724.162742719
2020-09-04,12525369.414907876,12860826.856963329,13195059.38870429,13528053.145078836,13859794.277917951,14519463.370242782,15173956.25287945
2020-09-07,12529756.20120038,12864973.92236492,13198568.471566776,13530526.741484975,13860835.66624285,14516453.430574503,15165318.108035631
2020-09-08,12343296.478955872,12630614.588056106,12915936.562871568,13199252.368891781,13480552.053615784,14037063.665458418,14585393.457960121
2020-09-09,12422994.20488734,12728037.330040373,13030342.539139997,13329901.423752472,13626705.71699948,14212018.17756975,14786216.666777628
2020-09-10,12471372.341358408,12790093.46442753,13106840.096729811,13421601.256074347,13734366.039692448,14353863.27229043,14965246.201876357
2020-09-11,12488753.818490919,12813564.224329904,13137225.738518843,13459723.761354841,13781043.696554057,14420090.94194914,15054250.810457714
2020-09-14,12781358.86676113,13183970.882246954,13587411.622206578,13991657.432499822,14396684.50457247,15208986.43181119,16024123.873046756
2020-09-15,12850416.000873268,13270708.574680625,13692127.994291393,14114648.80718267,14538245.366204206,15388562.16477754,16242869.345103603
2020-09-16,13051702.658179628,13524029.66948426,13998292.079828478,14474458.4469085,14952497.041519847,15914062.566817548,16882729.114890702
2020-09-17,13025374.203178152,13491027.028710134,13958708.805541996,14428385.659621187,14900023.398323528,15849043.1729672,16805488.260058228
2020-09-18,13273157.806943998,13800632.365180423,14330208.682444058,14861846.411942074,15395504.816252336,16468718.757709505,17549516.866464876
2020-09-21,12908139.400890877,13340788.28775938,13774263.973750975,14208535.478076529,14643571.56046781,15515811.210791912,16390727.87541744
2020-09-22,12949010.29698466,13389486.05939193,13829974.6867548,14270448.887188952,14710881.16677621,15591508.98732064,16471634.218304995
