Allocation Model,Model Code,Capacity (Slots),Concentration Cap (%),Starting Capital (₹),Ending Equity (₹),Total Return (%),CAGR (%),Max Drawdown (%),Profit Factor,Win Rate (%),Trades Taken,Avg Trade Return (%),Median Trade Return (%),Avg Holding Days,Max Consec Losses,Avg Capital Deployed (%),Avg Cash Pct (%),Max Cash Pct (%),Avg Open Positions,Max Open Positions,Signals Generated,Total Rejected Signals,Signals Rejected (%),Transaction Costs (₹),Slippage Impact (₹),Total Friction (₹),Winners > 25%,Winners > 50%,Winners > 100%,Winners > 200%,BLISSGVS Retained
Model B2: Inverse Rank Weighted,MODEL_B2_INVERSE,10,15.0,1000000.0,9426320.450091435,842.6320450091434,29.63634977543137,-36.03138174025088,1.6432892272131965,27.977839335180054,1444,1.844978724106034,-3.483790523690761,11.446675900277008,32,77.12701438644866,22.872985613551336,100.0,7.732927970065481,10,4427,2983,67.38197424892704,1337979.039869766,1337979.039869766,2675958.079739532,76,26,7,1,True
Model B2: Inverse Rank Weighted,MODEL_B2_INVERSE,15,10.0,1000000.0,7809781.67418422,680.978167418422,26.84522027547849,-30.131479151724943,1.6371558307997254,28.64476386036961,1948,1.7861966899091268,-3.48379052369076,11.73305954825462,40,71.2456254842244,28.754374515775595,100.0,10.69223573433115,15,4427,2479,55.99728936074091,1153873.3031806725,1153873.3031806725,2307746.606361345,97,29,9,1,True
Model B2: Inverse Rank Weighted,MODEL_B2_INVERSE,20,7.5,1000000.0,7848555.50482875,684.8555504828751,26.917920897786797,-23.34200646579402,1.7316178028538436,29.17197452229299,2355,2.0127544108871156,-3.48379052369076,11.907430997876858,45,66.2771108979672,33.722889102032795,100.0,13.117867165575303,20,4427,2072,46.80370454032076,1021681.1116396472,1021681.1116396472,2043362.2232792943,130,38,11,1,True
Model B2: Inverse Rank Weighted,MODEL_B2_INVERSE,25,6.0,1000000.0,7291716.448707328,629.1716448707328,25.841918999956135,-20.39107021707188,1.790676848833379,29.638009049773757,2652,2.1604769035303,-3.48379052369076,12.01659125188537,39,60.782600533526164,39.217399466473836,100.0,14.907390084190833,25,4427,1775,40.09487237406822,873988.5834411463,873988.5834411463,1747977.1668822926,151,46,13,2,True
Model B2: Inverse Rank Weighted,MODEL_B2_INVERSE,30,5.0,1000000.0,6383793.417468547,538.3793417468547,23.92068924555859,-18.09708093859115,1.773703337432101,29.63215258855586,2936,2.103217714735123,-3.48379052369076,11.9141689373297,35,55.841708576720585,44.158291423279415,100.0,16.362956033676333,30,4427,1491,33.6796927942173,751237.1570560833,751237.1570560833,1502474.3141121666,166,50,14,2,True
Model C: Relative Volume Weighted,MODEL_C_VOL,10,15.0,1000000.0,10412875.851064952,941.2875851064952,31.137870274327952,-35.346719642401226,1.7331146341737385,28.651685393258425,1424,2.093176236946683,-3.483790523690761,11.696629213483146,37,76.66598037195286,23.334019628047145,100.0,7.792329279700655,10,4427,3003,67.83374745877569,1570508.8470477217,1570508.8470477217,3141017.6940954435,80,24,8,1,True
Model C: Relative Volume Weighted,MODEL_C_VOL,15,10.0,1000000.0,9075153.087639283,807.5153087639283,29.068178905690555,-28.14215183431616,1.7579359016042926,28.99590163934426,1952,2.1278037525984677,-3.483790523690761,11.81045081967213,38,70.66015044218099,29.339849557819008,100.0,10.784845650140317,15,4427,2475,55.906934718771176,1287603.4857093925,1287603.4857093925,2575206.971418785,112,34,10,2,True
Model C: Relative Volume Weighted,MODEL_C_VOL,20,7.5,1000000.0,6448579.974987051,544.8579974987051,24.065541335800454,-21.42890673116456,1.6929557971331544,28.726513569937367,2395,1.9336130963404994,-3.483790523690761,11.662212943632568,33,64.35296100468106,35.64703899531894,100.0,13.065949485500468,20,4427,2032,45.900158120623445,883951.1124219517,883951.1124219517,1767902.2248439034,132,37,12,2,True
Model C: Relative Volume Weighted,MODEL_C_VOL,25,6.0,1000000.0,5678201.418485866,467.8201418485866,22.252747785069715,-18.773201055229308,1.6604843899417558,28.524945770065074,2766,1.834189534866174,-3.483790523690761,11.473246565437455,34,59.24093781759115,40.75906218240885,100.0,14.845182413470534,25,4427,1661,37.51976507793088,746836.0085423731,746836.0085423731,1493672.0170847462,148,43,12,2,True
Model C: Relative Volume Weighted,MODEL_C_VOL,30,5.0,1000000.0,5061098.126236881,406.1098126236881,20.636240567683274,-16.855945437375528,1.6939705043300524,28.88002658690595,3009,1.9104908924934827,-3.48379052369076,11.585244267198405,35,54.011899801073284,45.988100198926716,100.0,16.30682881197381,30,4427,1418,32.03072057826971,632066.3226541309,632066.3226541309,1264132.6453082617,165,49,13,2,True
Model D: Composite Tech+Fund Weighted,MODEL_D_HYBRID,10,15.0,1000000.0,6535201.315663692,553.5201315663692,24.25721490493782,-34.979526023571886,1.5705631231083166,27.781665500349895,1429,1.6209700614432465,-3.483790523690761,11.65150454863541,33,78.77853162220295,21.221468377797052,100.0,7.789522918615528,10,4427,2998,67.72080415631353,1049226.1797616656,1049226.1797616656,2098452.3595233313,71,21,6,0,True
Model D: Composite Tech+Fund Weighted,MODEL_D_HYBRID,15,10.0,1000000.0,7079112.904347306,607.9112904347306,25.411840094480787,-28.871048875834543,1.647475285417483,28.24192721681189,1951,1.8182183457809784,-3.483790523690761,11.752947206560737,41,73.32390760349755,26.676092396502455,100.0,10.726847521047707,15,4427,2476,55.929523379263614,1111159.5624555093,1111159.5624555093,2222319.1249110186,103,27,9,2,True
Model D: Composite Tech+Fund Weighted,MODEL_D_HYBRID,20,7.5,1000000.0,7252039.422745148,625.2039422745148,25.762504918976937,-22.924688824200345,1.7493630910154585,28.89927751806205,2353,2.0776961400784324,-3.48379052369076,11.912452188695283,34,68.02553609834857,31.974463901651433,100.0,13.112254443405051,20,4427,2074,46.84888186130563,998467.2327958775,998467.2327958775,1996934.465591755,133,36,14,3,True
Model D: Composite Tech+Fund Weighted,MODEL_D_HYBRID,25,6.0,1000000.0,5885584.833351417,488.5584833351418,22.761172097681737,-20.431042725380035,1.6996180232851557,28.677839851024206,2685,1.9350757110450432,-3.483790523690761,11.802979515828678,37,62.20401907292617,37.79598092707383,100.0,14.824602432179606,25,4427,1742,39.349446577817936,776637.4300511705,776637.4300511705,1553274.860102341,146,41,14,3,True
Model D: Composite Tech+Fund Weighted,MODEL_D_HYBRID,30,5.0,1000000.0,5529679.542879394,452.96795428793945,21.87843823999018,-18.803391208368357,1.7171721290671147,28.80783519081391,2961,1.973634914128687,-3.48379052369076,11.78014184397163,32,57.46884283818804,42.53115716181196,100.0,16.31665107577175,30,4427,1466,33.114976281906486,699054.109997286,699054.109997286,1398108.219994572,162,49,15,3,True
